id,external_id,name,her_nr,status,source_url
269,4087,HERCULES,4087,completed,https://www.irishautoparts.ie
270,4722,HESKET,4722,completed,https://www.irishautoparts.ie
271,4176,HIGER,4176,completed,https://www.irishautoparts.ie
272,2794,HILLMAN,2794,completed,https://www.irishautoparts.ie
273,1499,HINDUSTAN,1499,completed,https://www.irishautoparts.ie
274,5858,HIPHI,5858,completed,https://www.irishautoparts.ie
275,4314,HMRacing,4314,completed,https://www.irishautoparts.ie
276,1500,HOBBYCAR,1500,completed,https://www.irishautoparts.ie
13,45,HONDA,45,completed,https://www.irishautoparts.ie
277,3126,HONDA (DONGFENG),3126,completed,https://www.irishautoparts.ie
278,3129,HONDA (GAC),3129,completed,https://www.irishautoparts.ie
279,2871,HONGQI,2871,completed,https://www.irishautoparts.ie
280,4488,HOREX,4488,completed,https://www.irishautoparts.ie
281,5109,HORKI (DYK),5109,completed,https://www.irishautoparts.ie
282,6513,HORWIN,6513,completed,https://www.irishautoparts.ie
283,3276,HSV,3276,completed,https://www.irishautoparts.ie
284,6623,HUAKAI AUTO,6623,completed,https://www.irishautoparts.ie
285,4258,HUANGHAI,4258,completed,https://www.irishautoparts.ie
286,5067,HUATIAN,5067,completed,https://www.irishautoparts.ie
287,6697,HUAZI AUTO,6697,completed,https://www.irishautoparts.ie
288,1506,HUMMER,1506,completed,https://www.irishautoparts.ie
289,4287,HUSABERG,4287,completed,https://www.irishautoparts.ie
290,4241,HUSQVARNA,4241,completed,https://www.irishautoparts.ie
291,5583,HYCAN,5583,completed,https://www.irishautoparts.ie
292,4056,HYOSUNG,4056,completed,https://www.irishautoparts.ie
293,6929,HYPTEC,6929,completed,https://www.irishautoparts.ie
14,183,HYUNDAI,183,completed,https://www.irishautoparts.ie
294,3123,HYUNDAI (BEIJING),3123,completed,https://www.irishautoparts.ie
295,3128,HYUNDAI (HUATAI),3128,completed,https://www.irishautoparts.ie
297,6873,ICKX,6873,completed,https://www.irishautoparts.ie
298,6514,IM MOTORS,6514,completed,https://www.irishautoparts.ie
299,4325,INDIAN,4325,completed,https://www.irishautoparts.ie
300,1507,INDIGO,1507,completed,https://www.irishautoparts.ie
301,6576,INEOS,6576,completed,https://www.irishautoparts.ie
302,1526,INFINITI,1526,completed,https://www.irishautoparts.ie
303,52,INNOCENTI,52,completed,https://www.irishautoparts.ie
304,3677,INOKOM,3677,completed,https://www.irishautoparts.ie
305,3084,IRAN KHODRO,3084,completed,https://www.irishautoparts.ie
306,1508,IRMSCHER,1508,completed,https://www.irishautoparts.ie
307,1509,ISDERA,1509,completed,https://www.irishautoparts.ie
308,5737,ISO,5737,completed,https://www.irishautoparts.ie
309,5736,ISORIVOLTA,5736,completed,https://www.irishautoparts.ie
15,54,ISUZU,54,completed,https://www.irishautoparts.ie
310,4393,ISUZU (JIANGXI),4393,completed,https://www.irishautoparts.ie
311,3139,ISUZU (QINGLING),3139,completed,https://www.irishautoparts.ie
312,4073,ITALJET,4073,completed,https://www.irishautoparts.ie
16,55,IVECO,55,completed,https://www.irishautoparts.ie
313,4683,IZH,4683,completed,https://www.irishautoparts.ie
314,2873,JAC,2873,completed,https://www.irishautoparts.ie
315,6903,JAC EV,6903,completed,https://www.irishautoparts.ie
316,8059,JAECOO,8059,completed,https://www.irishautoparts.ie
17,56,JAGUAR,56,completed,https://www.irishautoparts.ie
317,4614,JAGUAR (CHERY),4614,completed,https://www.irishautoparts.ie
318,4074,JAWA,4074,completed,https://www.irishautoparts.ie
18,882,JEEP,882,completed,https://www.irishautoparts.ie
319,7096,JENHOO-AUTO,7096,completed,https://www.irishautoparts.ie
320,1511,JENSEN,1511,completed,https://www.irishautoparts.ie
321,5119,JETOUR,5119,completed,https://www.irishautoparts.ie
322,2908,JIANGNAN,2908,completed,https://www.irishautoparts.ie
323,6702,JIDU,6702,completed,https://www.irishautoparts.ie
324,2888,JINBEI,2888,completed,https://www.irishautoparts.ie
325,4799,JINLUN,4799,completed,https://www.irishautoparts.ie
326,7090,JIYUE AUTO,7090,completed,https://www.irishautoparts.ie
327,3040,JMC,3040,completed,https://www.irishautoparts.ie
328,5219,JMEV,5219,completed,https://www.irishautoparts.ie
329,3993,JONWAY,3993,completed,https://www.irishautoparts.ie
330,5699,JOYFUN AUTO,5699,completed,https://www.irishautoparts.ie
331,4180,JOYLONG,4180,completed,https://www.irishautoparts.ie
332,4390,KANDI,4390,completed,https://www.irishautoparts.ie
333,5501,KARMA,5501,completed,https://www.irishautoparts.ie
334,3286,KARRY,3286,completed,https://www.irishautoparts.ie
335,4445,KARSAN,4445,completed,https://www.irishautoparts.ie
336,1131,KAWASAKI,1131,completed,https://www.irishautoparts.ie
337,4495,KEEWAY,4495,completed,https://www.irishautoparts.ie
338,7030,KG MOBILITY,7030,completed,https://www.irishautoparts.ie
19,184,KIA,184,completed,https://www.irishautoparts.ie
339,3127,KIA (DYK),3127,completed,https://www.irishautoparts.ie
340,3805,KING LONG,3805,completed,https://www.irishautoparts.ie
341,4163,KOENIGSEGG,4163,completed,https://www.irishautoparts.ie
342,4070,KREIDLER,4070,completed,https://www.irishautoparts.ie
343,4498,KSR MOTO,4498,completed,https://www.irishautoparts.ie
